id,exercise_id,muscle_group_id
b225f8e2-bd4a-4d56-98ec-a0fbd0f66170,09708134-f1ed-4553-b293-85e86ab21c6f,d26ed0c4-2941-49e9-9c09-efce5663ab92
4d89a0c4-b3a1-403f-8a93-22df7ff0fda6,09708134-f1ed-4553-b293-85e86ab21c6f,0a8ec2e6-f77d-4fdd-a216-e2bf7714c7f2
4b065b43-14c3-4e16-a782-026e5d0a9685,811d8d9e-b551-49cf-b6c2-0ec46b072367,d26ed0c4-2941-49e9-9c09-efce5663ab92
d97fbcc1-1038-45c8-ac80-31941ec5348c,811d8d9e-b551-49cf-b6c2-0ec46b072367,0a8ec2e6-f77d-4fdd-a216-e2bf7714c7f2
44bb0e47-a568-43ab-9772-7448efbd42f8,9c107b95-376e-4c03-9d73-83fe3bbd081f,d26ed0c4-2941-49e9-9c09-efce5663ab92
26b9b070-3527-48ce-b44a-f36550433cbf,9c107b95-376e-4c03-9d73-83fe3bbd081f,0a8ec2e6-f77d-4fdd-a216-e2bf7714c7f2
5e96e82e-1954-43c5-a3d6-308bbd773772,b3a76e18-e83c-48fa-97e7-f138e5be038d,d26ed0c4-2941-49e9-9c09-efce5663ab92
386a5215-9aed-4910-8bdf-f73eda04719e,b3a76e18-e83c-48fa-97e7-f138e5be038d,0a8ec2e6-f77d-4fdd-a216-e2bf7714c7f2
0b63d168-51fb-409b-8123-113e1be5fc3c,6c7adaea-c30c-4354-a902-ab29fd4b20c5,d26ed0c4-2941-49e9-9c09-efce5663ab92
457afbfa-42fe-4d42-a357-ddf83cb95671,6c7adaea-c30c-4354-a902-ab29fd4b20c5,0a8ec2e6-f77d-4fdd-a216-e2bf7714c7f2
94d0d108-e0e2-4e74-ab78-698169b54af9,8d459caa-ece1-4bd7-9cf5-23ea59a55174,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
c666593c-399b-41ab-9154-09cdc2e0b010,acb878fa-5595-4f45-b9af-5a4c9fb55bf2,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
69e467e0-07c1-4d4f-8c69-157da4bee670,730a2ecd-6d52-44cd-86d7-233c7b38ad24,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
4306755a-52cf-481f-85a5-bc4036278c51,359cec62-9a63-40c3-ba59-afd40ebdd262,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
78cde737-0882-4b58-92ea-da0148a22860,2b8b3529-e835-41e6-92a4-6194035b15c3,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
76620b5f-9c60-43c1-b403-a8d66a27dd5e,d6a2b5f2-1d74-4c5c-b97b-011a23a04382,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
50e179ec-3155-4a22-87b8-ef61a01992b2,62533345-faed-4077-9fb9-f43c9637d163,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
a5f9f906-e689-40f3-a263-be82fa2d5c62,6741bc62-8f98-45eb-9007-49e119bc4786,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
a4c483d2-d64a-4273-967b-7811e38f7054,e4c7729e-a65d-47c0-a1db-9fe6ce39af3b,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
fc3d48a2-f3b7-4f77-8180-68d9472bc3aa,37accc83-a8d5-4a39-870a-1e8447f3aad1,4e26aa65-dc3c-415c-9a17-ccea45b11bd8
54b417ef-325c-4c98-a0c8-b25fafad0c43,c08d3e0c-6d4a-4c5d-8251-2955d676acda,e05de925-1e66-4547-8950-1d26e5de9e11
4ffff17e-5b28-4b30-96c9-94f225c0e68b,c08d3e0c-6d4a-4c5d-8251-2955d676acda,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
696861df-b5a7-436d-9415-eeef2ee5b873,b420e656-8ce2-4fa2-9228-14bf106a6ec9,e05de925-1e66-4547-8950-1d26e5de9e11
8772b6ae-02b0-4f97-bd05-4ec9c17c0160,b420e656-8ce2-4fa2-9228-14bf106a6ec9,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
7381b3d2-ee5c-49bd-b5b1-0a79f0406913,74ee60fe-5ad1-4d07-b7f6-6aac2b362d3b,e05de925-1e66-4547-8950-1d26e5de9e11
7a13432d-569a-440f-b08f-28f496ca729d,74ee60fe-5ad1-4d07-b7f6-6aac2b362d3b,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
33f860dd-f769-4a28-a9ad-c3629cfe6c31,c1ce3395-847b-467c-a97d-a11298964d61,e05de925-1e66-4547-8950-1d26e5de9e11
beac8ab3-5501-4e32-87e0-3f31d0b6f443,c1ce3395-847b-467c-a97d-a11298964d61,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
c13aa5b1-2308-4920-bdf3-46544291e15c,649cbd29-b7c9-47f0-91cd-f733f1e2051f,e05de925-1e66-4547-8950-1d26e5de9e11
db7b9f28-9552-416a-980c-ec0ebba24854,649cbd29-b7c9-47f0-91cd-f733f1e2051f,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
7117dba2-605f-400c-9e82-e047b152a754,793cf7d3-a118-4570-b1a9-29b932c1606b,e05de925-1e66-4547-8950-1d26e5de9e11
b11bff92-6ad7-46c3-bbeb-5076c62f1520,793cf7d3-a118-4570-b1a9-29b932c1606b,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
60f4ac28-ccc3-43a0-bbb3-a1932688eaac,2b984f16-bf45-4900-a0fd-b36a3b1cff4c,e05de925-1e66-4547-8950-1d26e5de9e11
fbed5554-f188-422a-a1bd-4819345ec228,2b984f16-bf45-4900-a0fd-b36a3b1cff4c,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
54597fbe-0c52-45ca-b0df-f9b2e2341171,847d453a-204b-4f90-a139-c50ad23b057c,e05de925-1e66-4547-8950-1d26e5de9e11
71fc4ed8-1d76-4b44-9c35-08478f064496,847d453a-204b-4f90-a139-c50ad23b057c,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
add2fef6-423d-4b53-81e4-6acde9b8fe4c,2cbfd86a-e32f-435b-8a18-d88b37c9a106,e05de925-1e66-4547-8950-1d26e5de9e11
bf4438a5-98cf-4923-b45b-a4d89e519ff6,2cbfd86a-e32f-435b-8a18-d88b37c9a106,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
606adfa1-cb48-4e1a-9be5-bf13cc4e326e,36b40ab5-7047-4352-b85d-25adc74b9c5b,e05de925-1e66-4547-8950-1d26e5de9e11
83d0b4ae-289c-4374-bcde-00253abae183,36b40ab5-7047-4352-b85d-25adc74b9c5b,af4d7669-3a4a-480b-b8aa-17e39ad4d8c8
8ca5d2e5-6370-4c28-aced-c6a84441a4d3,bb0140f7-2e28-47f1-ab65-b7a115003623,d26ed0c4-2941-49e9-9c09-efce5663ab92
95b366e8-0827-4b96-b243-694ce4065aec,bb0140f7-2e28-47f1-ab65-b7a115003623,0a8ec2e6-f77d-4fdd-a216-e2bf7714c7f2
c935f7f4-7378-4d21-8a8d-b92f7e082639,5190da89-b9f7-4680-8539-e999bbbf3056,d26ed0c4-2941-49e9-9c09-efce5663ab92
136f15dd-364c-4926-80cf-8fee641e2e84,5190da89-b9f7-4680-8539-e999bbbf3056,0a8ec2e6-f77d-4fdd-a216-e2bf7714c7f2
768821b7-732b-489a-8cbc-f2fa6d0c2286,625e9a8d-507d-437e-a1b3-0a143c0cfaad,d26ed0c4-2941-49e9-9c09-efce5663ab92
a5d4ba0a-a9be-444e-baed-6d658b6d7cdd,625e9a8d-507d-437e-a1b3-0a143c0cfaad,0a8ec2e6-f77d-4fdd-a216-e2bf7714c7f2
5f59daaf-2ac9-4b06-8a2d-e582e1fb86e0,60f4a99d-ebe4-4ac2-a9d5-fcc829589a3d,d26ed0c4-2941-49e9-9c09-efce5663ab92
